"Points:0","Points:1","Points:2"
-0.19092,-0.04951,-0.05789
-0.18853,-0.058871,-0.048282
-0.1896,-0.03975,-0.064839
-0.18917,-0.075731,-0.0070146
-0.18156,-0.010192,-0.059349
-0.18167,-0.01905,-0.030353
-0.18139,-0.020015,-0.026723
-0.18166,-0.024204,-0.0071307
-0.18203,-0.024052,-0.032777
-0.18205,-0.012955,-0.034261
-0.18175,-0.013812,-0.03252
-0.18233,-0.02334,-0.042064
-0.18236,-0.032636,-0.017355
-0.18239,-0.044133,-0.013503
-0.18177,-0.01665,-0.015389
-0.19209,-0.060288,-0.046458
-0.18223,-0.034115,-0.016894
-0.18261,-0.035643,-0.026156
-0.1827,-0.014222,-0.043052
-0.18245,-0.016303,-0.038995
-0.18273,-0.026545,-0.026267
-0.18327,-0.015816,-0.050647
-0.18274,-0.019938,-0.013833
-0.18319,-0.040035,-0.015415
-0.18344,-0.047408,-0.021083
-0.18307,-0.026153,-0.04466
-0.18369,-0.030778,-0.063655
-0.1832,-0.026155,-0.035434
-0.18314,-0.041074,-0.012473
-0.1826,0.0021429,-0.024102
-0.18366,-0.02319,-0.05172
-0.18347,-0.034234,-0.011972
-0.19157,-0.010807,-0.075319
-0.18343,-0.03914,-0.026351
-0.18394,-0.017396,-0.06739
-0.18379,-0.031001,-0.053465
-0.1841,-0.060508,-0.045085
-0.18402,-0.028283,-0.067323
-0.18349,-0.049488,-0.0095067
-0.192,-0.013349,-0.074903
-0.184,-0.061085,-0.03763
-0.1831,-0.022073,-0.015439
-0.18389,-0.068727,-0.014089
-0.18351,-0.039306,-0.017229
-0.18384,-0.068873,-0.015913
-0.18381,-0.013538,-0.04092
-0.18407,-0.028305,-0.069337
-0.18375,-0.018948,-0.016889
-0.18366,-0.052404,-0.0069175
-0.18343,-0.026189,-0.026037
-0.18405,-0.010784,-0.058504
-0.18416,-0.057384,-0.015169
-0.18371,-0.012424,-0.044897
-0.18442,-0.032675,-0.04587
-0.18407,-0.028142,-0.011076
-0.18435,-0.007923,-0.048257
-0.18462,-0.030993,-0.059765
-0.18404,-0.027668,-0.011508
-0.1841,-0.034628,-0.029384
-0.18306,-0.011204,-0.018426
-0.184,-0.043297,-0.019321
-0.18424,-0.044387,-0.019925
-0.18418,-0.022131,-0.036319
-0.18402,-0.043396,-0.05377
-0.18434,-0.035031,-0.024115
-0.18422,-0.036639,-0.0195
-0.18285,-0.016507,-0.01126
-0.18394,-0.0070205,-0.022771
-0.18438,-0.0073034,-0.023877
-0.18487,-0.014562,-0.066332
-0.18433,-0.057997,-0.026207
-0.18453,-0.049651,-0.0044327
-0.18452,-0.036493,-0.03125
-0.18397,-0.069863,-0.0027704
-0.18483,-0.010671,-0.042162
-0.18492,-0.072086,-0.01175
-0.18431,-0.037727,-0.054559
-0.18453,0.00047079,-0.030594
-0.18485,-0.035932,-0.060028
-0.18462,-0.042459,-0.051569
-0.1847,-0.040267,-0.016639
-0.18471,-0.021568,-0.057146
-0.18509,-0.02756,-0.062923
-0.18522,-0.039687,-0.045669
-0.18523,-0.0040591,-0.046868
-0.18435,0.00028557,-0.024786
-0.18516,-0.045381,-0.058084
-0.18533,-0.032703,-0.032351
-0.185,-0.0018741,-0.063978
-0.18482,-0.050148,-0.033576
-0.18528,-0.035806,-0.04954
-0.1852,-0.052761,-0.017146
-0.18486,-0.02682,-0.030167
-0.1855,-0.048173,-0.04133
-0.18494,-0.030236,-0.0048464
-0.18542,-0.022447,-0.027533
-0.18474,-0.02831,-0.028549
-0.18289,-0.047291,-0.0046067
-0.18579,-0.027923,-0.053008
-0.18557,-0.012145,-0.048201
-0.18493,-0.004328,-0.031368
-0.18563,-0.026111,-0.035071
-0.18535,-0.012874,-0.026817
-0.18576,-0.054904,-0.014601
-0.18328,-0.023098,-0.0059023
-0.18462,-0.016835,-0.011985
-0.18537,-0.048693,-0.028378
-0.18601,-0.053322,-0.032258
-0.18574,-0.023005,-0.035202
-0.18524,-0.014917,-0.015974
-0.18582,-0.049577,-0.037273
-0.18571,-0.030043,-0.028672
-0.186,-0.029125,-0.053869
-0.1863,-0.056301,-0.029199
-0.18585,-0.025645,-0.03726
-0.18566,-0.049348,-0.009403
-0.1859,-0.029523,-0.021967
-0.18582,-0.036765,-0.064244
-0.18593,-0.043052,-0.020732
-0.18579,-0.018693,-0.027345
-0.18634,-0.040596,-0.053295
-0.18529,-0.027421,-0.01781
-0.18611,-0.040727,-0.0072945
-0.18624,-0.074357,-0.0049894
-0.18647,-0.033289,-0.042933
-0.18553,-0.023665,-0.0045716
-0.1866,-0.053812,-0.037774
-0.18661,-0.0029646,-0.051679
-0.18632,-0.0073167,-0.063089
-0.18644,-0.010592,-0.047927
-0.18636,-0.030293,-0.053693
-0.18634,-0.050359,-0.043409
-0.18645,-0.031597,-0.032606
-0.18674,-0.016677,-0.048848
-0.18693,-0.069416,-0.020791
-0.18656,-0.0052849,-0.032833
-0.18543,-0.016003,-0.010529
-0.18673,-0.019579,-0.045802
-0.18692,-0.045566,-0.015847
-0.18639,-0.02316,-0.022874
-0.18692,-0.052854,-0.043305
-0.18698,-0.0098733,-0.063354
-0.18728,-0.012907,-0.069748
-0.18681,-0.030305,-0.054244
-0.18706,-0.014672,-0.02618
-0.1835,-0.0067831,-0.010663
-0.18749,-0.012075,-0.066444
-0.18765,-0.062922,-0.031736
-0.18728,-0.036139,-0.015608
-0.18682,-0.0055061,-0.028182
-0.18677,-0.026632,-0.022891
-0.18711,-0.033241,-0.05879
-0.18715,-0.0065403,-0.036303
-0.18742,-0.048541,-0.033063
-0.18754,-0.054012,-0.021554
-0.18721,-0.018143,-0.02814
-0.18771,-0.058431,-0.035703
-0.18785,-0.055773,-0.045295
-0.18789,-0.032707,-0.040277
-0.18758,-0.040635,-0.034082
-0.1877,-0.0067342,-0.034966
-0.18808,-0.056291,-0.039054
-0.18803,-0.054536,-0.037547
-0.1877,-0.013251,-0.068029
-0.18723,-0.058032,-0.02527
-0.18814,-0.037167,-0.037993
-0.18798,-0.009074,-0.06953
-0.18383,0.0015117,-0.0092535
-0.18809,-0.05939,-0.02279
-0.18818,-0.011353,-0.047046
-0.18815,-0.058675,-0.027457
-0.18786,-0.053998,-0.0022529
-0.18824,-0.046535,-0.013331
-0.18821,-0.058242,-0.0078966
-0.18337,-0.014807,-0.0037012
-0.18793,-0.033219,-0.058936
-0.18823,-0.036473,-0.058407
-0.18797,-0.066308,-0.017486
-0.18862,-0.043845,-0.056492
-0.18806,-0.036739,-0.016053
-0.18857,-0.039317,-0.0094006
-0.18832,-0.026332,-0.019244
-0.18827,-0.016936,-0.033689
-0.18849,0.0017582,-0.034132
-0.18883,-0.053826,-0.032207
-0.18844,-0.017174,-0.058231
-0.18821,0.00051798,-0.045752
-0.18808,-0.041592,-0.017971
-0.18804,-0.011283,-0.0416
-0.1883,-0.030259,-0.019255
-0.18869,-0.014618,-0.027759
-0.18875,-0.0015918,-0.063564
-0.18882,-0.013172,-0.037627
-0.18914,-0.030423,-0.067294
-0.18894,-0.014063,-0.05731
