"Points:0","Points:1","Points:2","T","U:0","U:1","U:2","UTurb:0","UTurb:1","UTurb:2","active","age","d","dTarget","mass0","nParticle"
-0.18892,-0.038093,-0.065846,293.66,3.3564,0.32968,-0.25144,-0.23049,0.46662,-0.24189,1,0.0032835,1e-05,0,5.236e-13,60277
-0.19117,-0.074174,-0.016634,294.63,2.4546,0.22595,-0.35513,0.076169,-0.04357,-0.053788,1,0.0023275,1e-05,0,5.236e-13,60398
-0.18526,-0.074903,-0.01279,296.96,5.7288,0.025603,-0.89587,-0.018616,0.01155,-0.080218,1,0.0014501,1e-05,0,5.236e-13,60289
-0.19054,-0.020774,-0.07318,297.41,2.4331,0.46937,-0.10619,0.20899,-0.057281,-2.2488e-05,1,0.0013649,1e-05,0,5.236e-13,60289
-0.18577,-0.065567,-0.038124,298.3,8.144,0.98124,-1.463,-0.36687,0.99739,0.080529,1,0.0011244,1e-05,0,5.236e-13,60181
-0.18434,-0.075119,-0.0083944,298.54,12.825,0.62647,-2.6886,0.43457,0.797,0.018995,1,0.0010973,1e-05,0,5.236e-13,48145
-0.18157,-0.014723,-0.049208,299.18,15.742,5.7507,-0.92638,0,0,0,1,0.00099902,1e-05,0,5.236e-13,60181
-0.18158,-0.04507,-0.0067932,299.16,15.927,1.7524,-6.1589,0,0,0,1,0.00099364,1e-05,0,5.236e-13,60181
-0.18162,-0.016728,-0.042536,299.23,15.918,6.2111,-1.7108,0,0,0,1,0.00098103,1e-05,0,5.236e-13,48145
-0.18183,-0.044264,-0.0071846,299.25,15.946,1.8195,-6.2045,0,0,0,1,0.00097683,1e-05,0,5.236e-13,60181
-0.18155,-0.033983,-0.013392,299.21,16.428,3.1288,-6.4402,0,0,0,1,0.00096856,1e-05,0,5.236e-13,60181
-0.1891,-0.063934,-0.041002,299.29,6.4143,0.77816,-1.275,-0.1541,0.15849,-0.036473,1,0.00096751,1e-05,0,5.236e-13,60181
-0.18196,-0.0083454,-0.044556,299.3,15.923,6.4585,-0.46438,0,0,0,1,0.00096685,1e-05,0,5.236e-13,60181
-0.18215,-0.030525,-0.035721,299.33,15.87,5.1232,-3.5789,0,0,0,1,0.00096541,1e-05,0,5.236e-13,60181
-0.18186,-0.023671,-0.034217,299.31,16.143,5.7853,-3.3834,0,0,0,1,0.00096011,1e-05,0,5.236e-13,48145
-0.18172,-0.0050712,-0.034782,299.33,16.584,7.1117,-0.51675,0,0,0,1,0.00094755,1e-05,0,5.236e-13,60181
-0.18187,-0.026263,-0.016327,299.34,16.94,4.113,-6.0704,0,0,0,1,0.00093902,1e-05,0,5.236e-13,60181
-0.18137,-0.018085,-0.017779,299.37,17.755,4.9554,-4.9337,0,0,0,1,0.00092776,1e-05,0,5.236e-13,48145
-0.18158,-0.031372,-0.021718,299.47,16.335,4.3274,-5.4333,0,0,0,1,0.00092717,1e-05,0,5.236e-13,48145
-0.18261,-0.016775,-0.04502,299.61,15.781,5.9875,-1.4816,0,0,0,1,0.00091814,1e-05,0,5.236e-13,60181
-0.18287,-0.0057017,-0.054171,299.69,15.637,5.3983,0.19858,0,0,0,1,0.00091604,1e-05,0,5.236e-13,60181
-0.18235,-0.003713,-0.034336,299.52,16.597,7.138,-0.25877,0,0,0,1,0.00091394,1e-05,0,5.236e-13,60181
-0.18271,-0.042908,-0.0058772,299.64,15.954,1.6607,-6.3614,0,0,0,1,0.00090803,1e-05,0,5.236e-13,60181
-0.18304,-0.033419,-0.020592,299.64,16.202,3.9934,-5.5503,0,0,0,1,0.00090196,1e-05,0,5.236e-13,48145
-0.1822,-0.0069828,-0.032733,299.59,16.703,7.0702,-1.076,0,0,0,1,0.00090154,1e-05,0,5.236e-13,48145
-0.18279,-0.030529,-0.04149,299.76,15.685,4.9805,-2.8316,0,0,0,1,0.00090045,1e-05,0,5.236e-13,48145
-0.18313,-0.034464,-0.031973,299.73,15.83,4.6121,-4.1073,0,0,0,1,0.00089753,1e-05,0,5.236e-13,60181
-0.18356,-0.024785,-0.044991,299.79,15.67,5.3431,-2.1751,0,0,0,1,0.00089399,1e-05,0,5.236e-13,60181
-0.18346,-0.0056738,-0.045352,299.76,15.84,6.3937,-0.056829,0,0,0,1,0.0008907,1e-05,0,5.236e-13,48145
-0.18307,0.0002798,-0.03426,299.71,16.564,7.1365,0.60867,0,0,0,1,0.00088243,1e-05,0,5.236e-13,60181
-0.18327,-0.0012896,-0.037339,299.78,16.304,6.9817,0.38951,0,0,0,1,0.000876,1e-05,0,5.236e-13,60181
-0.18147,-0.0066845,-0.015219,299.68,19.191,4.9493,-2.2271,0,0,0,1,0.00087232,1e-05,0,5.236e-13,60181
-0.1825,-0.017974,-0.017046,299.71,17.757,4.7975,-4.9612,0,0,0,1,0.00087193,1e-05,0,5.236e-13,60181
-0.18274,-0.014394,-0.026574,299.75,17.019,6.376,-3.2304,0,0,0,1,0.0008718,1e-05,0,5.236e-13,60181
-0.1839,-0.032481,-0.049472,300.04,15.5,4.3746,-2.1217,0,0,0,1,0.00086668,1e-05,0,5.236e-13,60181
-0.18174,-0.0014927,-0.020182,299.73,18.585,6.1361,-0.37895,0,0,0,1,0.00086602,1e-05,0,5.236e-13,60181
-0.1831,-0.0099752,-0.037364,299.86,16.228,6.7565,-1.2228,0,0,0,1,0.00086474,1e-05,0,5.236e-13,48145
-0.18365,-0.05629,-0.038874,300.13,15.288,2.6135,-3.0847,0,0,0,1,0.00086373,1e-05,0,5.236e-13,48145
-0.18384,-0.033628,-0.059829,300.15,15.285,3.6939,-1.6369,0,0,0,1,0.00086143,1e-05,0,5.236e-13,60181
-0.1835,-0.037038,-0.02022,299.92,16.012,3.6223,-5.4834,0,0,0,1,0.00086037,1e-05,0,5.236e-13,60181
-0.18196,-0.018717,-0.013149,299.78,18.072,3.8999,-5.4194,0,0,0,1,0.00085972,1e-05,0,5.236e-13,60181
-0.18392,-0.037487,-0.04665,300.1,15.485,4.0778,-2.4907,0,0,0,1,0.00085785,1e-05,0,5.236e-13,48145
-0.18399,-0.01465,-0.042052,299.97,15.848,6.2959,-1.5151,0,0,0,1,0.00085552,1e-05,0,5.236e-13,60181
-0.18387,-0.023344,-0.035426,299.96,15.979,5.7681,-3.1867,0,0,0,1,0.00085512,1e-05,0,5.236e-13,60181
-0.1836,-0.031349,-0.010157,299.89,16.591,2.6598,-6.7458,0,0,0,1,0.00085289,1e-05,0,5.236e-13,48145
-0.1842,-0.052869,-0.023144,300.12,15.558,2.5438,-4.1856,0,0,0,1,0.00085213,1e-05,0,5.236e-13,48145
-0.18365,-0.012397,-0.05106,300.07,15.62,5.5751,-0.59898,0,0,0,1,0.00085155,1e-05,0,5.236e-13,48145
-0.18385,-0.059553,-0.015234,300.17,15.46,1.6959,-4.222,0,0,0,1,0.00084902,1e-05,0,5.236e-13,48145
-0.18416,-0.0017736,-0.048016,300.05,15.73,6.0861,0.5488,0,0,0,1,0.00084734,1e-05,0,5.236e-13,48145
-0.18395,-0.042806,-0.044176,300.21,15.442,3.6845,-2.7568,0,0,0,1,0.00084291,1e-05,0,5.236e-13,60181
-0.18415,-0.04795,-0.038357,300.22,15.452,3.3003,-3.1895,0,0,0,1,0.00084104,1e-05,0,5.236e-13,48145
-0.18416,-0.044708,-0.038134,300.2,15.51,3.5917,-3.2486,0,0,0,1,0.00084062,1e-05,0,5.236e-13,48145
-0.18141,-0.010137,-0.0036161,299.89,20.038,1.22,-3.655,0,0,0,1,0.00083937,1e-05,0,5.236e-13,60181
-0.18394,-0.047111,-0.014384,300.14,15.726,2.3683,-5.3222,0,0,0,1,0.00083661,1e-05,0,5.236e-13,60181
-0.18425,-0.027916,-0.050689,300.24,15.502,4.6432,-1.8235,0,0,0,1,0.00083307,1e-05,0,5.236e-13,60181
-0.18241,-0.011511,-0.013167,299.95,18.956,4.2151,-3.7368,0,0,0,1,0.00083096,1e-05,0,5.236e-13,60181
-0.18643,-0.07594,-0.001239,297.79,6.1779,0.14534,-1.3021,-0.065843,0.25978,0.14749,1,0.00129,1e-05,0,5.236e-13,60289
-0.18452,-0.074007,-0.010639,300.43,15.34,0.6157,-3.5639,0,0,0,1,0.0008219,1e-05,0,5.236e-13,60181
-0.18325,-0.024831,-0.0077461,300.06,17.471,2.3148,-6.6099,0,0,0,1,0.0008198,1e-05,0,5.236e-13,60181
-0.18448,-0.031454,-0.026994,300.18,16.009,4.6237,-4.6885,0,0,0,1,0.00081941,1e-05,0,5.236e-13,60181
-0.18223,-0.009089,-0.010215,300.04,19.563,3.4491,-3.1572,0,0,0,1,0.00081726,1e-05,0,5.236e-13,48145
-0.18461,-0.054658,-0.029305,300.47,15.422,2.6086,-3.6595,0,0,0,1,0.000803,1e-05,0,5.236e-13,60181
-0.1846,-0.042842,-0.043656,300.47,15.428,3.6648,-2.7902,0,0,0,1,0.00080247,1e-05,0,5.236e-13,60181
-0.18471,-0.026018,-0.04534,300.4,15.577,5.1488,-2.1974,0,0,0,1,0.0008005,1e-05,0,5.236e-13,60181
-0.18465,-0.057293,-0.013841,300.48,15.489,1.715,-4.4203,0,0,0,1,0.0007988,1e-05,0,5.236e-13,60181
-0.18414,-0.03969,-0.013206,300.35,15.939,2.6818,-6.0116,0,0,0,1,0.00079441,1e-05,0,5.236e-13,48145
-0.18481,-0.041832,-0.024954,300.42,15.698,3.5172,-4.6944,0,0,0,1,0.00079315,1e-05,0,5.236e-13,60181
-0.18218,-0.0039454,-0.014011,300.21,19.419,4.6779,-1.351,0,0,0,1,0.00079039,1e-05,0,5.236e-13,60181
-0.18448,-0.058796,-0.044062,300.64,15.196,2.3322,-2.8419,0,0,0,1,0.00078987,1e-05,0,5.236e-13,60181
-0.18497,-0.00015169,-0.054296,300.5,15.566,5.2521,0.70984,0,0,0,1,0.00078895,1e-05,0,5.236e-13,60181
-0.18501,-0.072856,-0.0047958,300.64,15.196,0.41882,-3.7304,0,0,0,1,0.00078829,1e-05,0,5.236e-13,60181
-0.18511,-0.043556,-0.022655,300.48,15.681,3.2201,-4.8291,0,0,0,1,0.00078575,1e-05,0,5.236e-13,48145
